id,condition,emotionally,treated,lovecountry,respect,decency,math,weak,unfairly,betray,traditions,disgusting,cruel,rights,loyalty,chaos,god,compassion,fairly,history,kidrespect,harmlessdg,good,animal,justice,family,sexroles,unnatural,kill,rich,team,soldier,chastity,102,103,104,105,108,109,110,111,112,113,114,201,202,203,204,205,206,207,208,303,402,403,404,405,406,408,409,410,411,501,502,503,504,507,509,510,601,602,603,604,605,608,610,611,612,614,701,702,703,704,705,706,707,709,710,711,712,713,714,715,716,801,802,803,804,805,808,810
11,before,5,5,4,4,5,0,5,5,4,3,4,5,5,4,4,3,5,5,3,4,3,5,5,5,4,2,3,2,4,3,3,3,3,5,4,5,5,4,3,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,5,5,4,4,5,5,4,4,4,4,4,4,4,4,3,5,4,5,5,5,3,5,5,5,2,5,5,5,5,2,5,3,5,5,5,5,5,5,3,5,4
12,before,5,5,4,4,4,0,5,5,4,3,4,5,5,4,4,3,5,5,3,4,2,5,5,5,3,2,1,5,4,3,3,2,4,5,4,5,5,4,4,5,4,4,3,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,2,5,5,5,5,5,5,4,4,4,4,3,3,4,5,3,5,3,4,4,5,4,5,4,5,4,5,5,5,5,3,5,4,5,4,5,5,5,5,3,5,3
13,before,5,5,3,4,4,0,5,5,4,2,4,5,5,4,4,2,5,4,3,4,2,5,5,5,3,1,2,4,3,3,2,3,3,5,4,5,5,4,3,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,4,4,5,5,5,4,3,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,5,5,5,4,3,5,3,5,5,5,5,5,5,3,5,4
14,before,5,5,3,3,4,0,5,5,4,3,4,5,5,4,4,3,5,5,3,4,3,5,5,5,2,1,2,4,4,2,3,3,4,5,4,5,5,3,3,4,4,3,4,5,5,4,5,5,5,5,5,5,4,4,4,5,5,5,3,5,5,4,4,5,5,4,4,4,4,4,3,4,5,3,5,4,4,4,5,3,5,4,5,4,4,5,5,3,3,5,3,5,5,5,5,5,5,2,5,4
15,before,5,5,3,4,4,0,5,5,4,3,4,5,5,4,4,3,5,4,2,3,3,5,5,4,2,1,2,5,3,3,3,2,3,5,4,5,5,4,3,4,4,4,4,5,5,4,5,5,5,5,5,5,4,4,4,5,5,5,4,5,5,4,3,5,4,3,4,3,4,4,4,4,5,4,5,4,5,4,5,4,5,4,5,4,4,4,5,4,4,5,4,5,4,5,5,5,5,4,5,4
16,before,5,5,2,3,4,0,5,5,4,2,4,5,5,4,4,3,5,5,2,3,2,5,5,5,3,2,2,4,4,3,3,2,3,5,4,5,5,4,4,5,4,3,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,3,5,5,4,5,5,5,3,5,4,4,4,3,4,5,3,5,4,4,3,4,2,4,3,5,3,4,3,5,3,3,5,3,5,3,5,5,5,5,3,5,3
17,before,5,5,3,4,4,0,5,5,4,4,4,5,5,5,5,3,4,5,3,4,3,5,5,5,3,2,2,5,4,3,3,3,4,5,4,5,5,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,4,4,5,5,4,4,4,4,4,4,4,5,4,5,4,5,4,5,3,5,4,5,4,4,4,5,3,3,5,3,5,3,5,5,5,5,3,5,4
18,before,5,5,3,4,4,0,5,5,4,3,4,5,5,4,4,3,5,5,3,4,3,5,5,5,3,2,2,5,4,3,2,3,3,5,4,5,5,4,4,5,4,5,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,5,5,4,4,5,5,4,5,4,4,4,4,4,5,4,5,4,5,5,5,3,5,4,5,4,4,4,5,4,3,5,3,5,5,5,5,5,5,3,5,4
19,before,5,5,3,4,5,0,5,5,4,2,4,5,5,4,4,3,5,5,3,4,4,5,5,5,3,2,3,5,5,4,3,3,3,5,4,5,5,4,4,5,4,4,4,5,5,4,5,5,5,5,5,5,4,4,4,5,5,5,4,5,5,3,3,5,4,3,4,3,5,5,4,5,5,3,5,5,4,4,5,4,5,4,5,3,5,5,5,5,3,5,4,5,5,5,5,5,5,3,5,3
20,before,5,5,4,4,5,0,5,5,4,3,5,5,5,4,5,3,5,5,3,4,4,5,5,5,3,2,3,5,4,3,3,3,3,4,3,4,4,2,3,4,3,3,3,5,5,4,5,5,5,5,5,4,4,4,4,4,5,4,3,4,5,3,3,4,4,3,3,3,4,4,4,4,4,2,4,3,4,4,4,2,4,4,5,4,5,5,5,4,3,5,4,5,4,5,5,5,5,3,5,4
21,before,5,5,2,3,4,0,5,5,4,2,4,5,5,3,4,2,5,5,2,4,3,5,5,5,3,2,3,4,3,2,3,3,4,5,4,5,5,3,3,5,5,4,4,5,5,4,5,5,5,5,5,5,4,4,4,4,5,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,3,5,4,5,4,5,5,5,5,3,5,4
22,before,5,5,2,4,4,0,5,5,3,2,4,5,5,4,4,2,5,5,3,4,3,5,5,5,3,2,2,5,4,3,2,3,3,5,4,5,5,3,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,4,4,4,5,4,5,5,4,5,5,5,5,4,3,4,4,5,3,4,5,5,1,1,5,3,5,4,5,5,5,5,1,5,4
23,before,5,5,3,4,4,0,5,5,4,3,4,5,5,4,4,3,4,5,3,4,3,5,5,5,4,2,3,4,3,3,3,3,3,4,4,5,5,4,3,4,4,4,4,5,5,4,5,5,5,5,5,5,4,4,4,5,5,5,3,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,5,4,5,4,5,3,5,4,5,4,4,5,5,4,3,5,4,5,4,5,5,5,5,3,5,4
24,before,5,5,2,3,4,0,5,5,3,2,4,5,5,4,4,2,5,5,3,4,3,5,5,5,3,2,3,4,3,2,3,3,3,4,4,5,5,3,3,4,4,3,3,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,5,4,5,4,5,5,5,5,4,5,4,5,5,5,5,5,5,3,4,3
25,before,5,5,3,3,4,0,5,5,4,2,4,5,5,4,4,3,5,5,3,4,2,5,5,5,2,2,2,4,4,3,2,3,3,4,3,4,4,3,3,4,3,3,3,5,5,4,4,5,5,5,5,4,4,3,4,4,4,4,3,4,5,4,4,4,4,3,4,4,4,4,3,4,4,3,4,4,4,3,4,3,4,3,5,3,4,5,5,4,3,5,3,5,4,5,5,5,5,4,4,3
26,before,5,5,2,3,4,0,5,5,4,2,4,5,5,4,4,2,5,5,3,4,3,5,5,5,3,2,3,4,4,3,3,2,3,5,4,5,5,3,4,4,4,3,4,5,5,5,5,5,5,5,5,4,4,3,4,4,5,5,3,5,5,3,4,5,5,4,4,4,4,4,3,4,4,3,4,3,4,4,5,3,4,2,5,2,3,4,5,3,2,5,2,5,4,5,5,5,5,2,5,3
27,before,5,5,3,4,4,0,5,5,4,3,4,5,5,4,4,3,5,5,3,4,2,5,5,5,3,2,2,4,4,3,3,3,4,5,4,5,5,3,4,4,3,3,4,5,5,4,5,5,5,5,5,4,4,4,4,5,5,5,4,5,5,4,4,5,4,4,4,3,4,5,4,5,5,4,5,4,5,4,5,3,5,4,5,4,3,4,5,4,3,5,2,5,3,5,5,5,5,3,5,4
28,before,5,5,2,3,4,0,5,5,3,2,4,5,5,3,4,3,5,5,3,4,2,5,5,5,3,1,2,4,3,2,2,3,3,4,2,4,4,3,3,4,2,2,3,5,5,4,5,5,5,5,5,4,4,3,3,4,5,4,3,4,5,3,4,4,4,3,4,3,4,4,4,4,4,3,5,4,4,3,4,3,5,4,5,4,3,4,5,4,2,5,3,5,3,5,5,5,5,2,5,3
29,before,5,5,3,4,4,0,5,5,4,2,3,5,5,4,4,3,5,5,3,4,2,5,5,5,2,1,2,4,4,2,3,2,3,5,4,5,5,3,3,4,4,4,4,5,5,4,5,5,5,5,5,4,5,4,4,5,5,5,4,5,5,4,4,4,5,3,4,3,5,5,5,5,5,4,5,5,5,5,5,2,3,4,4,2,4,4,5,4,2,5,3,5,4,5,5,5,5,3,5,4
30,before,5,5,2,3,4,0,5,5,4,2,4,5,5,3,4,2,5,5,3,4,4,5,5,5,3,2,3,5,4,3,2,3,3,4,3,5,5,3,4,5,4,4,4,5,5,4,5,5,5,5,5,5,4,4,4,5,5,5,3,5,5,4,4,5,4,3,4,3,4,4,4,4,4,4,4,3,4,4,5,3,5,4,5,3,3,3,5,3,3,5,3,5,3,5,5,5,5,3,5,3
31,before,5,5,3,4,4,0,5,5,4,3,4,5,5,4,4,3,5,5,3,4,3,5,5,5,4,2,2,4,4,3,3,3,3,4,4,5,5,4,3,4,3,4,3,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,3,5,5,4,4,5,5,4,4,4,4,4,4,4,5,5,5,4,4,4,5,4,5,5,5,4,5,5,5,5,4,5,4,5,5,5,5,5,5,3,5,4
32,before,5,5,2,4,4,0,5,5,3,2,4,5,5,3,4,2,5,5,3,4,3,5,5,5,2,1,2,4,3,2,2,3,3,5,4,5,5,3,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,4,4,4,4,5,4,4,5,3,5,5,4,4,5,3,5,3,5,3,4,3,5,4,3,5,4,5,4,5,5,5,5,3,5,4
33,before,5,5,3,3,4,0,5,5,4,2,4,5,5,4,4,3,5,5,3,4,2,5,5,5,4,3,2,4,4,3,3,3,3,4,3,5,4,3,3,4,4,3,3,5,5,4,5,5,5,5,5,5,4,4,4,4,5,4,3,4,5,4,4,4,4,4,4,3,4,4,3,4,4,3,5,4,4,4,5,3,5,4,5,3,5,4,5,4,3,5,3,5,4,5,5,5,5,2,4,3
34,before,5,5,2,4,4,0,5,5,4,2,3,5,5,4,5,2,5,5,3,4,2,5,5,5,3,2,1,4,4,3,2,3,4,5,5,5,5,4,3,5,4,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,3,5,5,5,4,5,5,3,4,3,4,4,5,4,5,4,5,4,5,5,5,3,5,4,5,3,4,5,5,5,5,5,3,5,4,5,5,5,5,2,5,3
35,before,5,5,2,3,4,0,5,5,4,3,4,5,5,4,4,2,5,5,3,4,2,5,5,5,3,2,2,4,4,3,3,3,3,5,4,5,5,4,3,5,4,4,4,5,5,4,5,5,5,5,5,4,3,4,3,5,5,5,4,5,5,4,4,5,5,4,4,4,4,4,3,4,5,4,5,4,4,4,5,3,5,5,5,4,5,5,5,4,4,5,4,5,4,5,5,5,5,3,5,4
36,before,5,5,2,4,3,0,5,5,4,2,3,5,5,4,4,2,5,5,3,4,2,5,5,5,2,2,1,4,4,3,2,3,3,4,4,5,5,4,3,4,3,4,3,5,5,4,5,5,5,5,5,4,4,4,4,4,5,5,3,5,5,5,5,5,5,4,5,4,4,3,3,4,5,3,4,3,3,4,5,4,5,4,5,4,4,3,5,3,3,5,4,5,3,5,5,5,5,3,5,3
37,before,5,5,2,3,4,0,5,5,4,3,4,5,5,4,4,2,5,5,3,4,3,5,5,5,4,2,2,4,5,3,3,2,3,4,4,5,4,3,3,4,3,3,4,5,5,4,5,5,5,5,5,5,4,4,4,4,5,5,4,5,5,4,3,5,5,4,4,3,4,4,4,4,5,4,5,4,5,4,5,3,5,4,5,4,5,5,5,4,3,5,3,5,4,5,5,5,5,3,5,4
38,before,5,5,4,4,4,0,5,5,4,3,4,5,5,4,4,3,5,5,3,4,3,5,5,5,3,2,2,4,4,3,2,3,4,5,4,5,5,3,4,5,4,4,4,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,4,5,4,4,4,3,4,4,3,5,4,4,4,4,3,5,4,5,3,4,4,5,3,3,5,3,5,4,5,5,5,5,3,5,3
39,before,5,5,3,3,4,0,5,5,4,3,4,5,5,4,4,0,5,5,3,3,2,5,5,5,3,1,1,2,4,2,2,2,3,4,3,5,4,3,4,4,4,4,3,5,5,4,5,5,5,5,5,4,4,4,4,5,5,5,3,5,5,4,4,5,5,4,5,4,4,4,3,4,4,3,5,4,4,3,5,3,5,4,5,3,4,5,5,4,2,5,3,5,3,5,5,5,5,3,5,4
40,before,5,5,2,4,4,0,5,5,4,3,4,5,5,4,4,2,5,5,2,4,3,5,5,5,3,2,3,4,4,3,2,2,3,5,4,5,5,3,3,5,4,3,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,3,5,5,4,4,4,5,4,5,4,3,4,4,4,4,3,5,4,4,3,4,3,5,3,5,3,4,4,5,3,3,5,2,5,3,5,5,5,5,4,5,4
41,before,5,5,3,4,4,0,5,5,4,2,3,5,5,4,4,3,5,5,3,4,3,5,5,5,3,2,2,5,4,3,2,3,3,4,3,5,4,3,3,4,4,3,4,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,4,4,5,5,4,4,3,4,4,4,5,5,4,5,4,5,5,5,5,5,4,5,4,5,5,5,5,3,5,4,5,4,5,5,5,5,3,5,3
42,before,5,5,2,3,4,0,5,5,4,2,4,5,5,4,4,2,4,5,0,3,2,5,5,5,3,1,2,4,3,3,2,2,3,4,4,5,5,4,4,5,4,4,3,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,3,5,5,4,4,5,4,4,5,4,4,4,4,5,4,4,5,5,5,4,5,3,4,3,5,3,4,5,5,4,3,5,3,5,4,5,5,5,5,3,5,4
43,before,5,5,2,3,4,0,5,5,3,2,4,5,5,3,4,1,5,5,3,4,3,5,5,5,3,2,3,4,4,3,2,2,3,4,4,5,5,4,3,4,4,4,3,5,5,4,5,5,5,5,5,5,4,4,3,5,5,5,4,5,5,5,4,5,5,4,4,4,4,4,4,4,5,4,5,5,5,5,5,4,5,5,5,4,5,5,5,4,4,5,4,5,4,5,5,5,5,4,5,5
44,before,5,5,3,4,4,0,5,5,4,3,4,5,5,4,4,2,5,5,3,4,3,5,5,5,3,2,3,5,4,3,3,3,3,4,3,5,5,4,3,5,5,3,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,5,5,4,4,4,5,4,4,4,5,5,4,5,5,4,5,4,5,5,4,3,5,4,5,4,5,5,5,4,3,5,4,5,4,5,5,5,5,3,5,4
45,before,5,5,2,3,4,0,5,5,4,2,4,5,5,4,4,2,5,5,3,4,2,5,5,5,3,1,1,5,4,2,2,3,3,5,4,5,5,3,3,4,4,2,4,5,5,4,5,5,5,5,5,4,4,3,3,5,5,5,3,5,5,4,3,4,5,3,4,3,4,3,4,4,5,4,5,4,4,4,5,5,5,3,5,4,5,5,5,5,3,5,4,5,5,5,5,5,5,3,4,3
46,before,5,5,3,4,4,0,5,5,4,3,4,5,5,4,4,3,5,5,3,4,3,5,5,5,3,2,2,5,4,3,2,3,3,4,4,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,3,4,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,5,4,4,3,4,3,5,4,5,5,4,5,5,4,4,5,4,5,4,5,5,5,5,3,5,5
47,before,5,5,2,4,4,0,5,5,4,3,4,5,5,4,4,2,5,5,0,4,2,5,5,5,3,2,1,4,3,2,3,2,4,5,5,5,5,4,3,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,3,5,4,4,4,5,4,5,4,5,3,4,5,5,3,4,5,3,5,4,5,5,5,5,4,5,3
48,before,5,5,2,3,4,0,5,5,4,2,4,5,5,4,4,2,5,5,3,4,2,5,5,5,3,2,1,4,4,3,3,3,3,5,4,5,5,3,3,5,4,4,4,5,5,4,5,5,5,5,5,5,4,4,4,5,5,5,3,5,5,4,4,5,5,4,4,4,3,3,3,4,5,3,5,4,4,4,5,4,5,4,5,3,5,5,5,4,3,5,4,5,4,5,5,5,5,4,5,4
49,before,5,5,3,4,4,0,5,5,4,2,4,5,5,4,4,3,5,5,3,4,2,5,5,5,3,2,2,5,4,3,3,2,3,4,3,5,4,3,4,4,4,4,4,5,5,4,5,5,5,5,5,5,4,4,3,4,5,4,3,4,5,4,4,5,5,4,5,4,4,5,4,4,5,4,5,4,5,5,5,4,5,4,5,4,5,5,5,4,3,5,4,5,5,5,5,5,5,3,5,4
50,before,5,5,3,4,4,0,5,5,4,3,4,5,5,4,4,3,5,5,3,4,2,5,5,5,3,1,1,4,4,2,2,2,3,4,3,5,4,3,3,4,3,3,3,5,5,4,5,5,5,5,5,4,4,4,4,5,5,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,3,5,4,5,4,4,5,5,4,3,5,4,5,4,5,5,5,5,3,5,3
51,before,5,5,2,4,4,0,5,5,4,3,4,5,5,4,4,2,5,5,3,4,3,5,5,5,3,2,2,5,4,3,3,2,3,4,3,4,4,3,3,4,4,4,3,5,5,4,5,5,5,5,5,5,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,4,5,4,4,5,5,3,4,5,3,5,4,5,5,5,5,4,5,4
52,before,5,5,3,4,4,0,5,5,4,3,4,5,5,4,5,3,5,5,3,4,3,5,5,5,3,2,2,5,4,3,3,3,3,4,3,5,5,3,3,5,4,3,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,5,5,3,3,4,4,3,4,3,4,5,4,4,4,4,5,3,4,4,5,3,3,2,5,2,3,4,5,3,2,5,2,5,3,5,5,5,5,3,5,3
53,before,5,5,2,3,4,0,5,5,3,2,4,5,5,3,4,2,5,5,3,4,2,5,5,5,3,1,2,4,4,3,2,3,3,5,4,5,5,3,3,4,4,4,4,5,5,4,5,5,5,5,5,5,4,4,4,5,5,5,4,5,5,4,3,4,4,3,3,3,5,4,4,5,4,3,5,4,4,4,4,3,4,3,5,3,4,5,5,3,4,5,2,5,3,5,5,5,5,3,4,3
54,before,5,5,1,2,4,0,5,5,3,2,4,5,5,3,3,1,5,5,0,3,2,5,5,5,3,1,1,4,4,3,2,2,3,4,3,5,4,3,3,4,4,3,3,5,5,4,5,5,5,5,5,4,3,3,3,4,5,4,4,4,5,3,3,4,5,3,3,3,4,4,3,4,4,3,4,3,4,4,5,4,5,4,5,4,4,5,5,3,2,5,3,5,4,5,5,5,5,4,5,4
55,before,5,5,4,4,4,0,5,5,4,3,4,5,5,4,4,3,5,5,3,4,2,5,5,5,4,2,2,4,4,3,3,3,3,5,4,5,5,3,3,5,4,4,3,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,5,5,4,5,4,4,4,4,5,5,3,5,5,4,4,4,3,4,3,5,2,4,4,5,4,5,5,4,5,4,5,5,5,5,3,5,4
56,before,5,5,2,4,4,0,5,5,4,2,4,5,5,4,4,1,5,5,2,4,2,5,5,5,3,1,2,4,3,3,1,2,3,4,3,5,5,3,3,4,4,3,3,5,5,4,5,5,5,5,5,4,3,4,4,5,5,5,3,5,5,4,4,4,5,4,4,3,3,4,4,3,4,3,5,4,4,4,5,4,5,4,5,3,4,5,5,4,2,5,3,5,3,5,5,5,5,2,4,3
57,before,5,5,1,3,4,0,5,5,3,2,4,5,5,3,4,1,5,5,3,4,4,5,5,5,2,1,2,4,3,2,1,2,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,3,5,5,5,4,5,5,5,5,3,5,4
58,before,5,5,0,2,4,0,5,5,4,2,4,5,5,4,4,0,5,5,0,2,2,5,5,5,3,2,1,2,4,2,1,0,3,5,4,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,5,4,5,5,5,5,4,5,5
59,before,5,5,2,3,4,0,5,5,3,2,4,5,5,3,4,1,5,5,3,4,2,5,5,5,3,1,2,4,4,3,3,2,3,4,4,5,5,4,4,5,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,4,5,5,4,4,5,5,4,5,4,4,5,5,4,5,5,5,5,5,4,5,3,5,5,5,3,4,5,5,4,3,5,4,5,4,5,5,5,5,4,5,4
60,before,5,5,2,3,4,0,5,5,4,2,4,5,5,4,4,2,5,5,3,4,3,5,5,5,4,2,2,5,4,3,3,3,3,4,2,4,4,3,3,4,3,3,4,5,5,4,5,5,5,5,5,4,4,4,4,5,5,5,3,5,5,5,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,5,3,5,3,4,5,5,4,2,5,3,5,3,5,5,5,5,1,5,3
61,before,5,5,3,4,4,0,5,5,4,2,4,5,5,4,5,3,5,5,2,4,2,5,5,5,4,1,1,5,4,2,3,2,3,5,4,5,5,3,4,5,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,5,5,5,4,5,5,4,4,4,4,5,4,5,5,3,5,4,5,5,5,3,5,4,5,3,4,5,5,4,2,5,3,5,4,5,5,5,5,2,4,4
62,before,5,5,3,4,4,0,5,5,4,3,3,5,5,4,4,2,5,5,3,4,2,5,5,5,3,2,2,4,4,3,3,3,3,4,4,5,5,4,4,5,4,4,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,4,4,5,4,5,4,5,4,4,5,5,4,4,5,4,5,4,5,5,5,5,3,5,3
63,before,5,5,3,3,4,0,5,5,3,2,4,5,5,3,4,3,5,5,3,4,2,5,5,5,3,1,1,5,4,2,2,3,3,5,4,5,5,4,3,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,5,5,4,5,4,5,5,2,5,5,4,5,4,5,4,5,4,5,5,5,4,5,5,5,5,3,5,4,5,4,5,5,5,5,3,5,4
64,before,5,5,3,4,4,0,5,5,4,3,2,5,5,4,4,2,5,5,3,4,2,5,5,5,3,2,2,5,4,3,3,2,3,4,3,4,5,3,2,4,4,4,3,5,5,4,5,5,5,5,5,5,4,4,4,5,5,5,3,5,5,4,4,5,5,4,5,4,4,3,3,4,4,3,4,3,4,4,4,3,5,3,5,3,4,4,5,4,2,5,3,5,3,5,5,5,5,3,5,4
65,before,5,5,2,3,4,0,5,5,4,2,3,5,5,4,4,2,5,5,3,4,2,5,5,5,3,1,1,4,4,2,1,2,3,5,3,5,5,4,4,5,5,3,4,5,5,4,5,5,5,5,5,5,4,4,4,5,5,5,2,5,5,4,4,5,5,4,4,4,4,5,4,4,5,3,5,4,5,4,5,3,5,4,5,4,5,5,5,4,3,5,4,5,4,5,5,5,5,3,5,4
66,before,5,5,2,4,3,0,5,5,4,2,3,5,5,4,5,1,5,5,3,4,2,5,5,5,3,2,1,5,4,3,2,3,3,4,3,5,4,2,4,5,3,3,3,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,3,5,5,4,4,5,5,4,5,3,4,4,4,4,4,3,5,5,5,4,5,4,5,3,5,3,5,3,5,5,2,5,3,5,4,5,5,5,5,4,5,4
