scale,foundation,condition,agent,alpha
MFV,Fairness,vq,GPT-4,0.6420109108674408
MFV,Fairness,overall,Claude 2.1,0.8879414328576064
MFV,Fairness,qv,Claude 2.1,0.8366564417177913
MFV,Fairness,vq,Claude 2.1,0.8785163157048708
MFV,Purity,overall,GPT-4,0.42619241446970163
MFV,Purity,qv,GPT-4,0.4023628542808321
MFV,Purity,vq,GPT-4,0.4154063450673622
MFV,Purity,overall,Claude 2.1,0.8476523692281112
MFV,Purity,qv,Claude 2.1,0.7545720851945361
MFV,Purity,vq,Claude 2.1,0.8182528520081264
MFV,Care (p),overall,GPT-4,0.6191615620214397
MFV,Care (p),qv,GPT-4,0.6792402617883614
MFV,Care (p),vq,GPT-4,0.4124483471074379
MFV,Care (p),overall,Claude 2.1,0.9036767847644296
MFV,Care (p),qv,Claude 2.1,0.867588213895962
MFV,Care (p),vq,Claude 2.1,0.8812306143549002
MFV,Liberty,overall,GPT-4,0.8617749981386346
MFV,Liberty,qv,GPT-4,0.8565284970221415
MFV,Liberty,vq,GPT-4,0.8391812865497076
MFV,Liberty,overall,Claude 2.1,0.949510200453027
MFV,Liberty,qv,Claude 2.1,0.9141636441489095
MFV,Liberty,vq,Claude 2.1,0.9316854688312085
MFV,Care (e),overall,GPT-4,0.8209461568116314
MFV,Care (e),qv,GPT-4,0.8063357774017673
MFV,Care (e),vq,GPT-4,0.81523576196563
MFV,Care (e),overall,Claude 2.1,0.9416370116953958
MFV,Care (e),qv,Claude 2.1,0.9212435444691666
MFV,Care (e),vq,Claude 2.1,0.9084511900655399
MFV,Authority,overall,Human,0.9051126097858978
MFV,Loyalty,overall,Human,0.9286144210779027
MFV,Fairness,overall,Human,0.8588708680387072
MFV,Purity,overall,Human,0.82316573908662
MFV,Care (p),overall,Human,0.8494914530037907
MFV,Liberty,overall,Human,0.823107097125343
MFV,Care (e),overall,Human,0.9166167050062297
MFQ,Harm,overall,Human,0.7165229609841083
MFQ - Part 1,Harm,overall,Human,0.7565075323998438
MFQ - Part 2,Harm,overall,Human,0.45845718051474144
MFQ,Fairness,overall,Human,0.6908247502404555
MFQ - Part 1,Fairness,overall,Human,0.8074810198695515
MFQ - Part 2,Fairness,overall,Human,0.43696476475443674
MFQ,Ingroup,overall,Human,0.757994980621814
MFQ - Part 1,Ingroup,overall,Human,0.7685938970755298
MFQ - Part 2,Ingroup,overall,Human,0.5275771090508039
MFQ,Authority,overall,Human,0.7292544281595126
MFQ - Part 1,Authority,overall,Human,0.6551476376616748
MFQ - Part 2,Authority,overall,Human,0.5836839995808858
MFQ,Purity,overall,Human,0.7828689171326987
MFQ - Part 1,Purity,overall,Human,0.6186153406817032
MFQ - Part 2,Purity,overall,Human,0.6997295363036176
