agent,id,condition,mfv,mfv_codes
Gemini Pro,52,qv,2,714
Gemini Pro,52,qv,4,509
Gemini Pro,52,qv,4,805
Gemini Pro,52,qv,3,713
Gemini Pro,52,qv,5,202
Gemini Pro,52,qv,3,614
Gemini Pro,52,qv,5,808
Gemini Pro,52,qv,5,105
Gemini Pro,52,qv,2,608
Gemini Pro,52,qv,1,702
Gemini Pro,52,qv,5,207
Gemini Pro,52,qv,4,601
Gemini Pro,52,qv,3,707
Gemini Pro,52,qv,5,803
Gemini Pro,52,qv,2,709
Gemini Pro,52,qv,5,801
Gemini Pro,52,qv,3,701
Gemini Pro,52,qv,3,102
Gemini Pro,52,qv,3,409
Gemini Pro,52,qv,4,410
Gemini Pro,52,qv,4,507
Gemini Pro,52,qv,5,205
Gemini Pro,52,qv,4,303
Gemini Pro,52,qv,4,602
Gemini Pro,52,qv,4,501
Gemini Pro,52,qv,4,103
Gemini Pro,52,qv,4,113
Gemini Pro,52,qv,4,510
Gemini Pro,52,qv,4,408
Gemini Pro,52,qv,2,711
Gemini Pro,52,qv,3,603
Gemini Pro,52,qv,3,110
Gemini Pro,52,qv,5,804
Gemini Pro,52,qv,3,705
Gemini Pro,52,qv,4,204
Gemini Pro,52,qv,4,503
Gemini Pro,52,qv,4,109
Gemini Pro,52,qv,4,604
Gemini Pro,52,qv,3,706
Gemini Pro,52,qv,5,201
Gemini Pro,52,qv,4,104
Gemini Pro,52,qv,2,716
Gemini Pro,52,qv,4,504
Gemini Pro,52,qv,4,611
Gemini Pro,52,qv,3,610
Gemini Pro,52,qv,4,112
Gemini Pro,52,qv,3,712
Gemini Pro,52,qv,3,710
Gemini Pro,52,qv,4,502
Gemini Pro,52,qv,5,810
Gemini Pro,52,qv,4,404
Gemini Pro,52,qv,4,612
Gemini Pro,52,qv,3,703
Gemini Pro,52,qv,3,403
Gemini Pro,93,vq,2,510
Gemini Pro,93,vq,3,402
Gemini Pro,93,vq,3,602
Gemini Pro,93,vq,4,103
Gemini Pro,93,vq,4,608
Gemini Pro,93,vq,3,410
Gemini Pro,93,vq,3,703
Gemini Pro,93,vq,2,707
Gemini Pro,93,vq,2,706
Gemini Pro,93,vq,4,203
Gemini Pro,93,vq,2,502
Gemini Pro,93,vq,4,705
Gemini Pro,93,vq,3,207
Gemini Pro,93,vq,5,802
Gemini Pro,93,vq,2,113
Gemini Pro,93,vq,5,801
Gemini Pro,93,vq,5,808
Gemini Pro,93,vq,3,601
Gemini Pro,93,vq,3,404
Gemini Pro,93,vq,4,406
Gemini Pro,93,vq,2,614
Gemini Pro,93,vq,3,604
Gemini Pro,93,vq,3,715
Gemini Pro,93,vq,4,810
Gemini Pro,93,vq,4,714
Gemini Pro,93,vq,5,710
Gemini Pro,93,vq,3,409
Gemini Pro,93,vq,5,803
Gemini Pro,93,vq,4,108
Gemini Pro,93,vq,5,711
Gemini Pro,93,vq,2,612
Gemini Pro,93,vq,3,403
Gemini Pro,93,vq,5,411
Gemini Pro,93,vq,4,201
Gemini Pro,93,vq,3,112
Gemini Pro,93,vq,4,610
Gemini Pro,93,vq,3,509
Gemini Pro,93,vq,3,110
Gemini Pro,93,vq,4,805
Gemini Pro,93,vq,5,713
Gemini Pro,93,vq,4,206
Gemini Pro,93,vq,3,701
Gemini Pro,93,vq,2,712
Gemini Pro,93,vq,3,704
Gemini Pro,93,vq,3,303
Gemini Pro,93,vq,5,709
Gemini Pro,93,vq,2,603
Gemini Pro,93,vq,3,716
Gemini Pro,93,vq,5,804
Gemini Pro,93,vq,2,102
Gemini Pro,93,vq,3,507
Gemini Pro,93,vq,2,408
Gemini Pro,93,vq,2,104
Gemini Pro,93,vq,3,501
Gemini Pro,93,vq,2,702
Gemini Pro,93,vq,4,204
Gemini Pro,93,vq,4,611
Gemini Pro,93,vq,4,105
Gemini Pro,93,vq,3,503
Gemini Pro,93,vq,2,109
Gemini Pro,93,vq,5,405
Gemini Pro,93,vq,3,111
Gemini Pro,93,vq,4,504
Gemini Pro,93,vq,4,605
Gemini Pro,93,vq,3,205
Gemini Pro,93,vq,5,208
Gemini Pro,93,vq,4,202
Gemini Pro,93,vq,2,114
GPT-4,0,qv,3,604
GPT-4,0,qv,4,707
GPT-4,0,qv,4,404
GPT-4,0,qv,4,705
GPT-4,0,qv,4,611
GPT-4,0,qv,3,805
GPT-4,0,qv,5,801
GPT-4,0,qv,5,206
GPT-4,0,qv,3,603
GPT-4,0,qv,5,202
GPT-4,0,qv,3,711
GPT-4,0,qv,3,510
GPT-4,0,qv,5,402
GPT-4,0,qv,5,405
GPT-4,0,qv,4,704
GPT-4,0,qv,4,703
GPT-4,0,qv,5,408
GPT-4,0,qv,5,204
GPT-4,0,qv,4,710
GPT-4,0,qv,2,112
GPT-4,0,qv,5,605
GPT-4,0,qv,4,501
GPT-4,0,qv,3,109
GPT-4,0,qv,3,102
GPT-4,0,qv,3,709
GPT-4,0,qv,3,608
GPT-4,0,qv,5,411
GPT-4,0,qv,4,111
GPT-4,0,qv,3,810
GPT-4,0,qv,4,610
GPT-4,0,qv,4,203
GPT-4,0,qv,2,114
GPT-4,0,qv,3,110
GPT-4,0,qv,4,612
GPT-4,0,qv,4,713
GPT-4,0,qv,4,409
GPT-4,0,qv,2,712
GPT-4,0,qv,4,507
GPT-4,0,qv,4,108
GPT-4,0,qv,4,105
GPT-4,0,qv,2,702
GPT-4,0,qv,2,113
GPT-4,0,qv,5,802
GPT-4,0,qv,4,715
GPT-4,0,qv,5,208
GPT-4,0,qv,4,601
GPT-4,0,qv,4,503
GPT-4,0,qv,2,714
GPT-4,0,qv,5,808
GPT-4,0,qv,5,207
GPT-4,0,qv,4,614
GPT-4,0,qv,4,403
GPT-4,0,qv,5,205
GPT-4,0,qv,3,104
GPT-4,0,qv,4,103
GPT-4,0,qv,5,804
GPT-4,0,qv,4,602
GPT-4,0,qv,5,803
GPT-4,0,qv,5,201
GPT-4,0,qv,5,406
GPT-4,0,qv,3,706
GPT-4,0,qv,4,502
GPT-4,0,qv,4,509
GPT-4,0,qv,3,716
GPT-4,0,qv,5,410
GPT-4,0,qv,4,504
GPT-4,0,qv,5,701
GPT-4,0,qv,5,303
GPT-4,2,qv,5,803
GPT-4,2,qv,4,103
GPT-4,2,qv,3,404
GPT-4,2,qv,2,702
GPT-4,2,qv,4,503
GPT-4,2,qv,4,410
GPT-4,2,qv,5,802
GPT-4,2,qv,5,402
GPT-4,2,qv,4,705
GPT-4,2,qv,2,110
GPT-4,2,qv,2,714
GPT-4,2,qv,5,202
GPT-4,2,qv,5,411
GPT-4,2,qv,4,605
GPT-4,2,qv,5,208
GPT-4,2,qv,2,604
GPT-4,2,qv,3,601
GPT-4,2,qv,3,114
GPT-4,2,qv,3,711
GPT-4,2,qv,4,704
GPT-4,2,qv,3,507
GPT-4,2,qv,4,102
GPT-4,2,qv,5,713
GPT-4,2,qv,4,409
GPT-4,2,qv,5,203
GPT-4,2,qv,5,206
GPT-4,2,qv,3,701
GPT-4,2,qv,5,405
GPT-4,2,qv,5,108
GPT-4,2,qv,3,509
GPT-4,2,qv,5,201
GPT-4,2,qv,4,715
GPT-4,2,qv,4,303
GPT-4,2,qv,5,406
GPT-4,2,qv,2,608
GPT-4,2,qv,5,703
GPT-4,2,qv,5,207
GPT-4,2,qv,2,805
GPT-4,2,qv,3,706
GPT-4,2,qv,5,801
GPT-4,2,qv,3,113
GPT-4,2,qv,4,716
GPT-4,2,qv,5,804
GPT-4,2,qv,3,614
GPT-4,2,qv,3,104
GPT-4,2,qv,3,810
GPT-4,2,qv,5,808
GPT-4,2,qv,4,112
GPT-4,2,qv,4,111
GPT-4,2,qv,5,205
GPT-4,2,qv,2,712
GPT-4,2,qv,4,501
GPT-4,2,qv,3,510
GPT-4,2,qv,5,709
GPT-4,2,qv,4,610
GPT-4,2,qv,4,602
GPT-4,2,qv,5,710
GPT-4,2,qv,5,204
GPT-4,2,qv,3,611
GPT-4,2,qv,5,403
GPT-4,2,qv,4,109
GPT-4,2,qv,3,603
GPT-4,2,qv,4,612
GPT-4,2,qv,4,105
GPT-4,2,qv,5,408
GPT-4,2,qv,4,504
GPT-4,2,qv,3,502
GPT-4,2,qv,5,707
GPT-4,3,vq,4,509
GPT-4,3,vq,4,403
GPT-4,3,vq,3,810
GPT-4,3,vq,5,501
GPT-4,3,vq,2,614
GPT-4,3,vq,4,404
GPT-4,3,vq,5,808
GPT-4,3,vq,4,103
GPT-4,3,vq,4,703
GPT-4,3,vq,5,804
GPT-4,3,vq,4,701
GPT-4,3,vq,3,601
GPT-4,3,vq,3,114
GPT-4,3,vq,4,502
GPT-4,3,vq,4,605
GPT-4,3,vq,5,705
GPT-4,3,vq,5,303
GPT-4,3,vq,3,608
GPT-4,3,vq,5,715
GPT-4,3,vq,4,602
GPT-4,3,vq,3,113
GPT-4,3,vq,4,611
GPT-4,3,vq,3,104
GPT-4,3,vq,3,716
GPT-4,3,vq,5,504
GPT-4,3,vq,4,410
GPT-4,3,vq,4,709
GPT-4,3,vq,5,204
GPT-4,3,vq,5,111
GPT-4,3,vq,5,105
GPT-4,3,vq,2,714
GPT-4,3,vq,5,406
GPT-4,3,vq,4,805
GPT-4,3,vq,4,409
GPT-4,3,vq,3,109
GPT-4,3,vq,5,408
GPT-4,3,vq,5,610
GPT-4,3,vq,4,110
GPT-4,3,vq,5,201
GPT-4,3,vq,4,707
GPT-4,3,vq,4,112
GPT-4,3,vq,4,510
GPT-4,3,vq,5,402
GPT-4,3,vq,3,604
GPT-4,3,vq,4,704
GPT-4,3,vq,5,801
GPT-4,3,vq,4,612
GPT-4,3,vq,4,706
GPT-4,3,vq,3,711
GPT-4,3,vq,5,203
GPT-4,3,vq,4,507
GPT-4,3,vq,5,208
GPT-4,3,vq,5,411
GPT-4,3,vq,3,702
GPT-4,3,vq,5,710
GPT-4,3,vq,5,803
GPT-4,3,vq,2,603
GPT-4,3,vq,5,405
GPT-4,3,vq,5,205
GPT-4,3,vq,5,802
GPT-4,3,vq,5,207
GPT-4,3,vq,5,503
GPT-4,3,vq,4,102
GPT-4,3,vq,3,712
GPT-4,3,vq,5,713
GPT-4,3,vq,5,108
GPT-4,3,vq,5,202
GPT-4,3,vq,5,206
GPT-4,4,qv,4,403
GPT-4,4,qv,3,504
GPT-4,4,qv,5,208
GPT-4,4,qv,4,405
GPT-4,4,qv,4,303
GPT-4,4,qv,5,808
GPT-4,4,qv,4,610
GPT-4,4,qv,3,810
GPT-4,4,qv,4,203
GPT-4,4,qv,3,614
GPT-4,4,qv,5,804
GPT-4,4,qv,3,111
GPT-4,4,qv,3,110
GPT-4,4,qv,3,612
GPT-4,4,qv,2,114
GPT-4,4,qv,4,601
GPT-4,4,qv,3,707
GPT-4,4,qv,1,716
GPT-4,4,qv,5,207
GPT-4,4,qv,2,706
GPT-4,4,qv,2,715
GPT-4,4,qv,3,108
GPT-4,4,qv,3,502
GPT-4,4,qv,4,713
GPT-4,4,qv,3,509
GPT-4,4,qv,5,402
GPT-4,4,qv,3,102
GPT-4,4,qv,3,113
GPT-4,4,qv,2,714
GPT-4,4,qv,4,410
GPT-4,4,qv,4,604
GPT-4,4,qv,5,206
GPT-4,4,qv,5,201
GPT-4,4,qv,5,803
GPT-4,4,qv,4,411
GPT-4,4,qv,4,605
GPT-4,4,qv,3,409
GPT-4,4,qv,5,406
GPT-4,4,qv,4,202
GPT-4,4,qv,4,204
GPT-4,4,qv,4,701
GPT-4,4,qv,3,712
GPT-4,4,qv,3,510
GPT-4,4,qv,3,603
GPT-4,4,qv,4,103
GPT-4,4,qv,2,711
GPT-4,4,qv,2,805
GPT-4,4,qv,2,104
GPT-4,4,qv,4,503
GPT-4,4,qv,4,105
GPT-4,4,qv,4,408
GPT-4,4,qv,3,710
GPT-4,4,qv,4,611
GPT-4,4,qv,3,602
GPT-4,4,qv,3,608
GPT-4,4,qv,3,705
GPT-4,4,qv,2,704
GPT-4,4,qv,5,802
GPT-4,4,qv,5,801
GPT-4,4,qv,1,702
GPT-4,4,qv,4,404
GPT-4,4,qv,3,507
GPT-4,4,qv,2,709
GPT-4,4,qv,4,703
GPT-4,4,qv,4,501
GPT-4,4,qv,3,112
GPT-4,4,qv,3,109
GPT-4,4,qv,5,205
GPT-4,5,vq,2,510
GPT-4,5,vq,3,114
GPT-4,5,vq,4,403
GPT-4,5,vq,3,614
GPT-4,5,vq,5,803
GPT-4,5,vq,3,509
GPT-4,5,vq,4,404
GPT-4,5,vq,5,201
GPT-4,5,vq,4,503
GPT-4,5,vq,5,303
GPT-4,5,vq,3,611
GPT-4,5,vq,4,408
GPT-4,5,vq,1,706
GPT-4,5,vq,5,208
GPT-4,5,vq,2,608
GPT-4,5,vq,5,808
GPT-4,5,vq,3,102
GPT-4,5,vq,3,112
GPT-4,5,vq,2,715
GPT-4,5,vq,3,110
GPT-4,5,vq,3,501
GPT-4,5,vq,3,702
GPT-4,5,vq,4,103
GPT-4,5,vq,3,710
GPT-4,5,vq,2,704
GPT-4,5,vq,4,111
GPT-4,5,vq,4,601
GPT-4,5,vq,5,402
GPT-4,5,vq,4,605
GPT-4,5,vq,5,202
GPT-4,5,vq,4,204
GPT-4,5,vq,3,113
GPT-4,5,vq,1,714
GPT-4,5,vq,5,411
GPT-4,5,vq,4,810
GPT-4,5,vq,5,801
GPT-4,5,vq,4,705
GPT-4,5,vq,5,405
GPT-4,5,vq,4,108
GPT-4,5,vq,2,707
GPT-4,5,vq,4,610
GPT-4,5,vq,2,716
GPT-4,5,vq,4,805
GPT-4,5,vq,4,104
GPT-4,5,vq,5,205
GPT-4,5,vq,4,105
GPT-4,5,vq,5,802
GPT-4,5,vq,1,711
GPT-4,5,vq,3,712
GPT-4,5,vq,5,207
GPT-4,5,vq,4,603
GPT-4,5,vq,4,713
GPT-4,5,vq,4,410
GPT-4,5,vq,4,604
GPT-4,5,vq,5,602
GPT-4,5,vq,3,507
GPT-4,5,vq,5,206
GPT-4,5,vq,4,203
GPT-4,5,vq,3,502
GPT-4,5,vq,3,109
GPT-4,5,vq,2,709
GPT-4,5,vq,5,406
GPT-4,5,vq,4,703
GPT-4,5,vq,4,701
GPT-4,5,vq,5,804
GPT-4,5,vq,4,409
GPT-4,5,vq,4,612
GPT-4,5,vq,4,504
GPT-4,6,qv,3,612
GPT-4,6,qv,4,408
GPT-4,6,qv,3,102
GPT-4,6,qv,4,112
GPT-4,6,qv,3,701
GPT-4,6,qv,5,803
GPT-4,6,qv,5,205
GPT-4,6,qv,5,207
GPT-4,6,qv,4,111
GPT-4,6,qv,4,104
GPT-4,6,qv,4,602
GPT-4,6,qv,2,706
GPT-4,6,qv,4,503
GPT-4,6,qv,3,601
GPT-4,6,qv,5,411
GPT-4,6,qv,3,704
GPT-4,6,qv,3,109
GPT-4,6,qv,5,208
GPT-4,6,qv,2,709
GPT-4,6,qv,4,509
GPT-4,6,qv,3,603
GPT-4,6,qv,2,711
GPT-4,6,qv,3,702
GPT-4,6,qv,5,801
GPT-4,6,qv,4,103
GPT-4,6,qv,3,703
GPT-4,6,qv,4,203
GPT-4,6,qv,3,716
GPT-4,6,qv,3,110
GPT-4,6,qv,5,206
GPT-4,6,qv,3,114
GPT-4,6,qv,5,802
GPT-4,6,qv,5,406
GPT-4,6,qv,4,507
GPT-4,6,qv,4,713
GPT-4,6,qv,4,501
GPT-4,6,qv,3,510
GPT-4,6,qv,4,404
GPT-4,6,qv,5,808
GPT-4,6,qv,3,611
GPT-4,6,qv,4,604
GPT-4,6,qv,3,608
GPT-4,6,qv,4,715
GPT-4,6,qv,5,804
GPT-4,6,qv,4,805
GPT-4,6,qv,3,610
GPT-4,6,qv,2,714
GPT-4,6,qv,3,105
GPT-4,6,qv,5,303
GPT-4,6,qv,5,202
GPT-4,6,qv,3,707
GPT-4,6,qv,4,502
GPT-4,6,qv,4,113
GPT-4,6,qv,4,710
GPT-4,6,qv,2,712
GPT-4,6,qv,5,201
GPT-4,6,qv,3,705
GPT-4,6,qv,4,504
GPT-4,6,qv,3,409
GPT-4,6,qv,4,605
GPT-4,6,qv,4,403
GPT-4,6,qv,4,108
GPT-4,6,qv,4,614
GPT-4,6,qv,5,402
GPT-4,6,qv,4,410
GPT-4,6,qv,5,204
GPT-4,6,qv,5,405
GPT-4,6,qv,3,810
GPT-4,8,qv,3,104
GPT-4,8,qv,4,503
GPT-4,8,qv,5,802
GPT-4,8,qv,4,509
GPT-4,8,qv,5,402
GPT-4,8,qv,3,113
GPT-4,8,qv,4,501
GPT-4,8,qv,4,703
GPT-4,8,qv,5,801
GPT-4,8,qv,4,108
GPT-4,8,qv,4,111
GPT-4,8,qv,5,202
GPT-4,8,qv,4,502
GPT-4,8,qv,5,205
GPT-4,8,qv,5,405
GPT-4,8,qv,3,704
GPT-4,8,qv,5,406
GPT-4,8,qv,3,602
GPT-4,8,qv,5,504
GPT-4,8,qv,3,714
GPT-4,8,qv,5,204
GPT-4,8,qv,5,303
GPT-4,8,qv,3,604
GPT-4,8,qv,4,810
GPT-4,8,qv,4,611
GPT-4,8,qv,2,711
GPT-4,8,qv,4,805
GPT-4,8,qv,4,709
GPT-4,8,qv,3,603
GPT-4,8,qv,4,701
GPT-4,8,qv,4,410
GPT-4,8,qv,5,808
GPT-4,8,qv,4,612
GPT-4,8,qv,5,206
GPT-4,8,qv,3,102
GPT-4,8,qv,3,112
GPT-4,8,qv,4,715
GPT-4,8,qv,3,712
GPT-4,8,qv,4,404
GPT-4,8,qv,3,707
GPT-4,8,qv,4,409
GPT-4,8,qv,5,713
GPT-4,8,qv,5,710
GPT-4,8,qv,3,109
GPT-4,8,qv,5,610
GPT-4,8,qv,4,601
GPT-4,8,qv,4,614
GPT-4,8,qv,5,207
GPT-4,8,qv,3,706
GPT-4,8,qv,4,103
GPT-4,8,qv,5,803
GPT-4,8,qv,5,208
GPT-4,8,qv,3,716
GPT-4,8,qv,4,105
GPT-4,8,qv,5,408
GPT-4,8,qv,4,605
GPT-4,8,qv,3,110
GPT-4,8,qv,5,705
GPT-4,8,qv,3,114
GPT-4,8,qv,4,507
GPT-4,8,qv,3,608
GPT-4,8,qv,5,804
GPT-4,8,qv,4,702
GPT-4,8,qv,5,201
GPT-4,8,qv,5,411
GPT-4,8,qv,5,203
GPT-4,8,qv,4,403
GPT-4,8,qv,4,510
GPT-4,9,vq,2,410
GPT-4,9,vq,4,605
GPT-4,9,vq,5,201
GPT-4,9,vq,3,507
GPT-4,9,vq,5,802
GPT-4,9,vq,2,110
GPT-4,9,vq,1,711
GPT-4,9,vq,3,604
GPT-4,9,vq,5,801
GPT-4,9,vq,4,108
GPT-4,9,vq,5,808
GPT-4,9,vq,4,111
GPT-4,9,vq,3,603
GPT-4,9,vq,2,716
GPT-4,9,vq,5,406
GPT-4,9,vq,3,109
GPT-4,9,vq,4,409
GPT-4,9,vq,2,707
GPT-4,9,vq,2,712
GPT-4,9,vq,4,504
GPT-4,9,vq,4,501
GPT-4,9,vq,5,804
GPT-4,9,vq,3,805
GPT-4,9,vq,4,614
GPT-4,9,vq,3,608
GPT-4,9,vq,4,601
GPT-4,9,vq,5,411
GPT-4,9,vq,2,709
GPT-4,9,vq,5,205
GPT-4,9,vq,4,713
GPT-4,9,vq,4,610
GPT-4,9,vq,4,103
GPT-4,9,vq,3,611
GPT-4,9,vq,3,810
GPT-4,9,vq,4,403
GPT-4,9,vq,4,303
GPT-4,9,vq,3,113
GPT-4,9,vq,5,208
GPT-4,9,vq,2,114
GPT-4,9,vq,3,104
GPT-4,9,vq,4,503
GPT-4,9,vq,3,112
GPT-4,9,vq,3,102
GPT-4,9,vq,3,705
GPT-4,9,vq,5,203
GPT-4,9,vq,5,206
GPT-4,9,vq,4,703
GPT-4,9,vq,4,612
GPT-4,9,vq,4,509
GPT-4,9,vq,4,710
GPT-4,9,vq,4,404
GPT-4,9,vq,3,702
GPT-4,9,vq,2,706
GPT-4,9,vq,2,714
GPT-4,9,vq,5,202
GPT-4,9,vq,3,704
GPT-4,9,vq,5,405
GPT-4,9,vq,5,408
GPT-4,9,vq,5,803
GPT-4,9,vq,4,715
GPT-4,9,vq,5,402
GPT-4,9,vq,4,602
GPT-4,9,vq,4,502
GPT-4,9,vq,5,204
GPT-4,9,vq,4,510
GPT-4,9,vq,5,207
GPT-4,9,vq,3,701
GPT-4,9,vq,4,105
GPT-4,10,qv,3,104
GPT-4,10,qv,2,805
GPT-4,10,qv,4,502
GPT-4,10,qv,4,409
GPT-4,10,qv,5,801
GPT-4,10,qv,2,608
GPT-4,10,qv,3,810
GPT-4,10,qv,4,102
GPT-4,10,qv,3,705
GPT-4,10,qv,5,405
GPT-4,10,qv,5,201
GPT-4,10,qv,4,610
GPT-4,10,qv,5,802
GPT-4,10,qv,3,713
GPT-4,10,qv,4,111
GPT-4,10,qv,3,712
GPT-4,10,qv,5,202
GPT-4,10,qv,5,402
GPT-4,10,qv,4,404
GPT-4,10,qv,3,109
GPT-4,10,qv,4,611
GPT-4,10,qv,5,207
GPT-4,10,qv,4,707
GPT-4,10,qv,2,714
GPT-4,10,qv,4,112
GPT-4,10,qv,4,110
GPT-4,10,qv,5,406
GPT-4,10,qv,3,612
GPT-4,10,qv,5,808
GPT-4,10,qv,3,703
GPT-4,10,qv,5,203
GPT-4,10,qv,3,113
GPT-4,10,qv,5,803
GPT-4,10,qv,4,105
GPT-4,10,qv,3,604
GPT-4,10,qv,3,510
GPT-4,10,qv,4,715
GPT-4,10,qv,4,614
GPT-4,10,qv,4,602
GPT-4,10,qv,3,704
GPT-4,10,qv,5,403
GPT-4,10,qv,5,303
GPT-4,10,qv,4,108
GPT-4,10,qv,5,804
GPT-4,10,qv,5,206
GPT-4,10,qv,2,716
GPT-4,10,qv,5,410
GPT-4,10,qv,5,204
GPT-4,10,qv,2,706
GPT-4,10,qv,3,501
GPT-4,10,qv,4,503
GPT-4,10,qv,4,504
GPT-4,10,qv,3,711
GPT-4,10,qv,4,509
GPT-4,10,qv,5,408
GPT-4,10,qv,5,208
GPT-4,10,qv,3,603
GPT-4,10,qv,3,114
GPT-4,10,qv,4,701
GPT-4,10,qv,3,507
GPT-4,10,qv,3,702
GPT-4,10,qv,5,411
GPT-4,10,qv,3,710
GPT-4,10,qv,4,601
GPT-4,10,qv,3,709
GPT-4,10,qv,4,103
GPT-4,10,qv,4,605
GPT-4,10,qv,5,205
GPT-4,11,vq,5,208
GPT-4,11,vq,3,602
GPT-4,11,vq,2,704
GPT-4,11,vq,2,805
GPT-4,11,vq,5,202
GPT-4,11,vq,4,504
GPT-4,11,vq,3,612
GPT-4,11,vq,3,604
GPT-4,11,vq,4,507
GPT-4,11,vq,4,108
GPT-4,11,vq,5,105
GPT-4,11,vq,4,203
GPT-4,11,vq,5,405
GPT-4,11,vq,4,502
GPT-4,11,vq,4,509
GPT-4,11,vq,5,303
GPT-4,11,vq,4,611
GPT-4,11,vq,5,808
GPT-4,11,vq,5,408
GPT-4,11,vq,4,404
GPT-4,11,vq,3,707
GPT-4,11,vq,5,410
GPT-4,11,vq,4,109
GPT-4,11,vq,5,205
GPT-4,11,vq,5,411
GPT-4,11,vq,4,610
GPT-4,11,vq,4,111
GPT-4,11,vq,4,605
GPT-4,11,vq,4,103
GPT-4,11,vq,3,810
GPT-4,11,vq,2,714
GPT-4,11,vq,5,204
GPT-4,11,vq,5,406
GPT-4,11,vq,3,713
GPT-4,11,vq,5,503
GPT-4,11,vq,4,801
GPT-4,11,vq,5,201
GPT-4,11,vq,3,601
GPT-4,11,vq,3,403
GPT-4,11,vq,3,510
GPT-4,11,vq,2,706
GPT-4,11,vq,3,705
GPT-4,11,vq,4,102
GPT-4,11,vq,2,709
GPT-4,11,vq,5,802
GPT-4,11,vq,4,501
GPT-4,11,vq,5,803
GPT-4,11,vq,3,113
GPT-4,11,vq,3,114
GPT-4,11,vq,5,206
GPT-4,11,vq,3,614
GPT-4,11,vq,5,207
GPT-4,11,vq,4,104
GPT-4,11,vq,4,110
GPT-4,11,vq,5,402
GPT-4,11,vq,5,804
GPT-4,11,vq,3,712
GPT-4,11,vq,2,715
GPT-4,11,vq,3,608
GPT-4,11,vq,3,701
GPT-4,11,vq,3,603
GPT-4,11,vq,4,112
GPT-4,11,vq,2,716
GPT-4,11,vq,4,409
GPT-4,11,vq,3,702
GPT-4,11,vq,3,710
GPT-4,11,vq,2,703
GPT-4,11,vq,2,711
GPT-4,12,qv,4,203
GPT-4,12,qv,5,208
GPT-4,12,qv,4,405
GPT-4,12,qv,2,611
GPT-4,12,qv,5,803
GPT-4,12,qv,2,706
GPT-4,12,qv,2,114
GPT-4,12,qv,4,503
GPT-4,12,qv,3,404
GPT-4,12,qv,3,703
GPT-4,12,qv,4,303
GPT-4,12,qv,2,704
GPT-4,12,qv,3,709
GPT-4,12,qv,5,801
GPT-4,12,qv,2,716
GPT-4,12,qv,3,603
GPT-4,12,qv,2,608
GPT-4,12,qv,5,411
GPT-4,12,qv,3,113
